Recycle_Schedule,Residual Day,Primary Address Identifier,Secondary Address Identifier,Street,Locality
10,THURSDAY,62,,SOUTH DRIVE,WARLEY
10,THURSDAY,64,,SOUTH DRIVE,WARLEY
10,THURSDAY,66,,SOUTH DRIVE,WARLEY
10,THURSDAY,68,,SOUTH DRIVE,WARLEY
10,THURSDAY,70,,SOUTH DRIVE,WARLEY
10,THURSDAY,72,,SOUTH DRIVE,WARLEY
10,THURSDAY,74,,SOUTH DRIVE,WARLEY
4,FRIDAY,109,,BRENTWOOD ROAD,INGRAVE
1,MONDAY,21,,SOUTH STREET,BRENTWOOD
1,MONDAY,23,,SOUTH STREET,BRENTWOOD
1,MONDAY,25,,SOUTH STREET,BRENTWOOD
1,MONDAY,27,,SOUTH STREET,BRENTWOOD
1,MONDAY,29,,SOUTH STREET,BRENTWOOD
1,MONDAY,31,,SOUTH STREET,BRENTWOOD
1,MONDAY,33,,SOUTH STREET,BRENTWOOD
1,MONDAY,35,,SOUTH STREET,BRENTWOOD
1,MONDAY,37,,SOUTH STREET,BRENTWOOD
1,MONDAY,39,,SOUTH STREET,BRENTWOOD
11,WEDNESDAY,19,,ALBERT STREET,WARLEY
4,FRIDAY,111,,BRENTWOOD ROAD,INGRAVE
1,MONDAY,41,,SOUTH STREET,BRENTWOOD
1,MONDAY,43,,SOUTH STREET,BRENTWOOD
8,FRIDAY,2,,SOUTH WEALD ROAD,BRENTWOOD
8,FRIDAY,3,,SOUTH WEALD ROAD,BRENTWOOD
8,FRIDAY,4,,SOUTH WEALD ROAD,BRENTWOOD
8,FRIDAY,5,,SOUTH WEALD ROAD,BRENTWOOD
8,FRIDAY,6,,SOUTH WEALD ROAD,BRENTWOOD
8,FRIDAY,7,,SOUTH WEALD ROAD,BRENTWOOD
8,FRIDAY,8,,SOUTH WEALD ROAD,BRENTWOOD
8,FRIDAY,10,,SOUTH WEALD ROAD,BRENTWOOD
3,WEDNESDAY,1,,BRIARWOOD,KELVEDON HATCH
8,FRIDAY,12,,SOUTH WEALD ROAD,BRENTWOOD
8,FRIDAY,14,,SOUTH WEALD ROAD,BRENTWOOD
8,FRIDAY,15,,SOUTH WEALD ROAD,BRENTWOOD
8,FRIDAY,16,,SOUTH WEALD ROAD,BRENTWOOD
8,FRIDAY,17,,SOUTH WEALD ROAD,BRENTWOOD
8,FRIDAY,18,,SOUTH WEALD ROAD,BRENTWOOD
8,FRIDAY,20,,SOUTH WEALD ROAD,BRENTWOOD
